City,State,Country,lat,lng
Tokyo,T?ky?,Japan,35.6897,139.6922
Jakarta,Jakarta,Indonesia,-6.175,106.8275
Delhi,Delhi,India,28.61,77.23
Guangzhou,Guangdong,China,23.13,113.26
Mumbai,Mah?r?shtra,India,19.0761,72.8775
Manila,Manila,Philippines,14.5958,120.9772
Shanghai,Shanghai,China,31.1667,121.4667
São Paulo,São Paulo,Brazil,-23.55,-46.6333
Seoul,Seoul,South Korea,37.56,126.99
Mexico City,Ciudad de México,Mexico,19.4333,-99.1333
Cairo,Al Q?hirah,Egypt,30.0444,31.2358
New York,New York,United States,40.6943,-73.9249
Dhaka,Dhaka,Bangladesh,23.7639,90.3889
Beijing,Beijing,China,39.904,116.4075
Kolk?ta,West Bengal,India,22.5675,88.37
Bangkok,Krung Thep Maha Nakhon,Thailand,13.7525,100.4942
Shenzhen,Guangdong,China,22.535,114.054
Moscow,Moskva,Russia,55.7558,37.6178
Buenos Aires,"Buenos Aires, Ciudad Autónoma de",Argentina,-34.5997,-58.3819
Lagos,Lagos,Nigeria,6.455,3.3841
Istanbul,?stanbul,Turkey,41.0136,28.955
Karachi,Sindh,Pakistan,24.86,67.01
Bangalore,Karn?taka,India,12.9789,77.5917
Ho Chi Minh City,H? Chí Minh,Vietnam,10.7756,106.7019
?saka,?saka,Japan,34.6939,135.5022
Chengdu,Sichuan,China,30.66,104.0633
Tehran,Tehr?n,Iran,35.6892,51.3889
Kinshasa,Kinshasa,Congo (Kinshasa),-4.325,15.3222
Rio de Janeiro,Rio de Janeiro,Brazil,-22.9111,-43.2056
Chennai,Tamil N?du,India,13.0825,80.275
Xi’an,Shaanxi,China,34.2667,108.9
Lahore,Punjab,Pakistan,31.5497,74.3436
Chongqing,Chongqing,China,29.55,106.5069
Los Angeles,California,United States,34.1141,-118.4068
Baoding,Hebei,China,38.8671,115.4845
London,"London, City of",United Kingdom,51.5072,-0.1275
Paris,Île-de-France,France,48.8567,2.3522
Linyi,Shandong,China,35.1041,118.3502
Dongguan,Guangdong,China,23.0475,113.7493
Hyder?b?d,Telang?na,India,17.385,78.4867
Tianjin,Tianjin,China,39.1467,117.2056
Lima,Lima,Peru,-12.06,-77.0375
Wuhan,Hubei,China,30.5872,114.2881
Nanyang,Henan,China,32.9987,112.5292
Hangzhou,Zhejiang,China,30.25,120.1675
Foshan,Guangdong,China,23.0292,113.1056
Nagoya,Aichi,Japan,35.1833,136.9
Taipei,Taipei,Taiwan,25.0375,121.5625
Tongshan,Jiangsu,China,34.261,117.1859
Luanda,Luanda,Angola,-8.8383,13.2344
Zhoukou,Henan,China,33.625,114.6418
Ganzhou,Jiangxi,China,25.8292,114.9336
Kuala Lumpur,Kuala Lumpur,Malaysia,3.1478,101.6953
Heze,Shandong,China,35.2333,115.4333
Quanzhou,Fujian,China,24.9139,118.5858
Chicago,Illinois,United States,41.8375,-87.6866
Nanjing,Jiangsu,China,32.0608,118.7789
Jining,Shandong,China,35.4,116.5667
Hanoi,Hà N?i,Vietnam,21.0283,105.8542
Pune,Mah?r?shtra,India,18.5203,73.8567
Fuyang,Anhui,China,32.8986,115.8045
Ahmedabad,Gujar?t,India,23.03,72.58
Johannesburg,Gauteng,South Africa,-26.2044,28.0456
Bogotá,Bogotá,Colombia,4.7111,-74.0722
Dar es Salaam,Dar es Salaam,Tanzania,-6.8161,39.2803
Shenyang,Liaoning,China,41.8025,123.4281
Khartoum,Khartoum,Sudan,15.5006,32.56
Shangqiu,Henan,China,34.4259,115.6467
Cangzhou,Hebei,China,38.3037,116.8452
Hong Kong,,Hong Kong,22.3,114.2
Shaoyang,Hunan,China,27.2418,111.4725
Zhanjiang,Guangdong,China,21.1967,110.4031
